sector,ticker,raw_rows,rows_after_dedup,rows_after_cleaning,duplicate_count,output_file,missing_required_cols
Banks,BAC,7929,7929,2213,0,BAC_eng.csv,
Banks,BBVA,3201,3201,2212,0,BBVA_eng.csv,
Banks,BCS,3201,3201,2212,0,BCS_eng.csv,
Banks,BK,8365,8365,2213,0,BK_eng.csv,
Banks,BMO,3201,3201,2212,0,BMO_eng.csv,
Banks,BNS,3201,3201,2212,0,BNS_eng.csv,
Banks,C,12074,12074,2213,0,C_eng.csv,
Banks,CM,3201,3201,2212,0,CM_eng.csv,
Banks,HDB,3201,3201,2212,0,HDB_eng.csv,
Banks,HSBC,3201,3201,2212,0,HSBC_eng.csv,
Banks,IBN,3201,3201,2212,0,IBN_eng.csv,
Banks,ING,3201,3201,2212,0,ING_eng.csv,
Banks,ITUB,3201,3201,2212,0,ITUB_eng.csv,
Banks,JPM,12074,12074,2213,0,JPM_eng.csv,
Banks,LYG,3201,3201,2212,0,LYG_eng.csv,
Banks,PNC,7353,7353,2213,0,PNC_eng.csv,
Banks,RY,3201,3201,2212,0,RY_eng.csv,
Banks,SAN,3201,3201,2212,0,SAN_eng.csv,
Banks,SMFG,3202,3202,2213,0,SMFG_eng.csv,
Banks,TD,3201,3201,2212,0,TD_eng.csv,
Banks,UBS,743,743,724,0,UBS_eng.csv,
Banks,USB,7561,7561,2213,0,USB_eng.csv,
Banks,WFC,8323,8323,2213,0,WFC_eng.csv,
Energy,APA,9043,9043,2213,0,APA_eng.csv,
Energy,BP,3201,3201,2212,0,BP_eng.csv,
Energy,CNQ,3201,3201,2212,0,CNQ_eng.csv,
Energy,COP,9041,9041,2212,0,COP_eng.csv,
Energy,CVX,12073,12073,2212,0,CVX_eng.csv,
Energy,DVN,6458,6458,2213,0,DVN_eng.csv,
Energy,ENB,3201,3201,2212,0,ENB_eng.csv,
Energy,EOG,7081,7081,2213,0,EOG_eng.csv,
Energy,EPD,3201,3201,2212,0,EPD_eng.csv,
Energy,EQT,3201,3201,2212,0,EQT_eng.csv,
Energy,HAL,9043,9043,2213,0,HAL_eng.csv,
Energy,KMI,1697,1697,1678,0,KMI_eng.csv,
Energy,LNG,3201,3201,2212,0,LNG_eng.csv,
Energy,MUR,3201,3201,2212,0,MUR_eng.csv,
Energy,NOV,3201,3201,2212,0,NOV_eng.csv,
Energy,OKE,3201,3201,2212,0,OKE_eng.csv,
Energy,OXY,9045,9045,2213,0,OXY_eng.csv,
Energy,SLB,9045,9045,2213,0,SLB_eng.csv,
Energy,SU,3201,3201,2212,0,SU_eng.csv,
Energy,VLO,3201,3201,2212,0,VLO_eng.csv,
Energy,WMB,9040,9040,2213,0,WMB_eng.csv,
Energy,XOM,12074,12074,2213,0,XOM_eng.csv,
Retail,AMZN,5153,5153,2213,0,AMZN_eng.csv,
Retail,AN,6460,6460,2213,0,AN_eng.csv,
Retail,AZO,6706,6706,2213,0,AZO_eng.csv,
Retail,BBY,8211,8211,2213,0,BBY_eng.csv,
Retail,CASY,3201,3201,2212,0,CASY_eng.csv,
Retail,COST,7903,7903,2213,0,COST_eng.csv,
Retail,CVS,8292,8292,2212,0,CVS_eng.csv,
Retail,DDS,7149,7149,2213,0,DDS_eng.csv,
Retail,DKS,3201,3201,2212,0,DKS_eng.csv,
Retail,DLTR,5709,5709,2213,0,DLTR_eng.csv,
Retail,EBAY,4814,4814,2213,0,EBAY_eng.csv,
Retail,GME,3201,3201,2212,0,GME_eng.csv,
Retail,HD,9114,9114,2213,0,HD_eng.csv,
Retail,KMX,3201,3201,2212,0,KMX_eng.csv,
Retail,KR,10306,10306,2213,0,KR_eng.csv,
Retail,LOW,8158,8158,2213,0,LOW_eng.csv,
Retail,ORLY,3201,3201,2212,0,ORLY_eng.csv,
Retail,ROST,7901,7901,2213,0,ROST_eng.csv,
Retail,TGT,8726,8726,2213,0,TGT_eng.csv,
Retail,TJX,7523,7523,2213,0,TJX_eng.csv,
Retail,TSCO,3201,3201,2212,0,TSCO_eng.csv,
Retail,ULTA,2531,2531,2212,0,ULTA_eng.csv,
Retail,WMT,11443,11443,2213,0,WMT_eng.csv,
Retail,WSM,3201,3201,2212,0,WSM_eng.csv,
Shipping,DAC,2795,2795,2212,0,DAC_eng.csv,
Shipping,DHT,3042,3042,2212,0,DHT_eng.csv,
Shipping,DSX,3187,3187,2212,0,DSX_eng.csv,
Shipping,ESEA,2796,2796,2191,0,ESEA_eng.csv,
Shipping,FRO,3201,3201,2212,0,FRO_eng.csv,
Shipping,GASS,3047,3047,2212,0,GASS_eng.csv,
Shipping,GLNG,3201,3201,2212,0,GLNG_eng.csv,
Shipping,GNK,585,585,566,0,GNK_eng.csv,
Shipping,GSL,2327,2327,2212,0,GSL_eng.csv,
Shipping,INSW,238,238,219,0,INSW_eng.csv,
Shipping,KEX,3201,3201,2212,0,KEX_eng.csv,
Shipping,MATX,3201,3201,2212,0,MATX_eng.csv,
Shipping,NAT,3201,3201,2212,0,NAT_eng.csv,
Shipping,NMM,2518,2518,2212,0,NMM_eng.csv,
Shipping,PANL,885,885,866,0,PANL_eng.csv,
Shipping,SB,2383,2383,2212,0,SB_eng.csv,
Shipping,SBLK,2949,2949,2212,0,SBLK_eng.csv,
Shipping,SFL,3201,3201,2212,0,SFL_eng.csv,
Shipping,SHIP,1534,1534,1515,0,SHIP_eng.csv,
Shipping,SMHI,113,113,94,0,SMHI_eng.csv,
Shipping,STNG,1920,1920,1901,0,STNG_eng.csv,
Shipping,TEN,3201,3201,2212,0,TEN_eng.csv,
Shipping,TK,3201,3201,2212,0,TK_eng.csv,
Shipping,TNK,2497,2497,2212,0,TNK_eng.csv,
Tech,AAPL,8364,8364,2213,0,AAPL_eng.csv,
Tech,ADBE,7876,7876,2213,0,ADBE_eng.csv,
Tech,ADI,8398,8398,2213,0,ADI_eng.csv,
Tech,ADP,8724,8724,2213,0,ADP_eng.csv,
Tech,ADSK,8158,8158,2213,0,ADSK_eng.csv,
Tech,AMAT,8364,8364,2213,0,AMAT_eng.csv,
Tech,AMD,8737,8737,2213,0,AMD_eng.csv,
Tech,CDNS,3201,3201,2212,0,CDNS_eng.csv,
Tech,CRM,3201,3201,2212,0,CRM_eng.csv,
Tech,CSCO,6964,6964,2213,0,CSCO_eng.csv,
Tech,GLW,9043,9043,2213,0,GLW_eng.csv,
Tech,IBM,14059,14059,2213,0,IBM_eng.csv,
Tech,INTC,11556,11556,2213,0,INTC_eng.csv,
Tech,INTU,6208,6208,2213,0,INTU_eng.csv,
Tech,KLAC,6962,6962,2213,0,KLAC_eng.csv,
Tech,LRCX,6956,6956,2213,0,LRCX_eng.csv,
Tech,MPWR,3201,3201,2212,0,MPWR_eng.csv,
Tech,MSFT,7983,7983,2213,0,MSFT_eng.csv,
Tech,MSI,3202,3202,2213,0,MSI_eng.csv,
Tech,MU,7179,7179,2213,0,MU_eng.csv,
Tech,NVDA,4733,4733,2213,0,NVDA_eng.csv,
Tech,ORCL,7486,7486,2213,0,ORCL_eng.csv,
Tech,QCOM,6527,6527,2213,0,QCOM_eng.csv,
Tech,SNPS,6476,6476,2213,0,SNPS_eng.csv,
Tech,TXN,9041,9041,2213,0,TXN_eng.csv,
